symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
SRUN,Silver Run Acquisition Corporation II,9.88,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/srun,2612
SRUNU,Silver Run Acquisition Corporation II,10.35,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/srunu,2613
SRUNW,Silver Run Acquisition Corporation II,1.61,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/srunw,2614
SSRI,Silver Standard Resources Inc.,9.185,1097494212.21,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ssri,2615
SAMG,Silvercrest Asset Management Group Inc.,12.6,163050300,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/samg,2616
SSNT,SilverSun Technologies Inc.,4.01,18004511.03,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ssnt,2617
SFNC,Simmons First National Corporation,54.55,1710069730.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfnc,2618
SLP,Simulations Plus Inc.,12.45,214645793.7,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/slp,2619
SINA,Sina Corporation,77.77,5519645413.59,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sina,2620
SBGI,Sinclair Broadcast Group Inc.,36.95,3791260403.35,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbgi,2621
SINO,Sino-Global Shipping America Ltd.,3.45,34001595.75,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/sino,2622
SVA,Sinovac Biotech Ltd.,5.39,306726363.79,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sva,2623
SIRI,Sirius XM Holdings Inc.,4.89,22811928743.67,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/siri,2624
SRVA,SIRVA Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srva,2625
SITO,SITO Mobile Ltd.,3.25,67213402.75,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/sito,2626
SKYS,Sky Solar Holdings Ltd.,1.96,27222975.08,13889273,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/skys,2627
SKLN,Skyline Medical Inc.,1.97,12784173.16,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/skln,2628
SPU,SkyPeople Fruit Juice Inc.,2.85,14743582.95,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/spu,2629
SKYW,SkyWest Inc.,36.35,1883599966.85,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/skyw,2630
SWKS,Skyworks Solutions Inc.,101.46,18718516924.32,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks,2631
SLM,SLM Corporation,11.93,5145819439.72,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slm,2632
SLMBP,SLM Corporation,69,276000000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slmbp,2633
SND,Smart Sand Inc.,10.94,446957441.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/snd,2634
SMBK,SmartFinancial Inc.,22.95,188352738.45,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/smbk,2635
SMSI,Smith Micro Software Inc.,1.03,12479640.68,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/smsi,2636
SMTX,SMTC Corporation,1.24,20744227.84,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/smtx,2637
LNCE,Snyder&#39;s-Lance Inc.,34.22,3302170422.98,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/lnce,2638
SRAX,Social Reality Inc.,1.72,13791832.04,n/a,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/srax,2639
SCKT,Socket Mobile Inc.,4.12,24554849.8,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/sckt,2640
SODA,SodaStream International Ltd.,55.68,1208136900.48,n/a,n/a,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/soda,2641
SOHU,Sohu.com Inc.,39.32,1527479060.24,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sohu,2642
SLRC,Solar Capital Ltd.,21.58,911723169.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slrc,2643
SUNS,Solar Senior Capital Ltd.,17.77,284811997.99,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/suns,2644
SEDG,SolarEdge Technologies Inc.,15.95,661535915.7,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/sedg,2645
SNGX,Soligenix Inc.,2.76,15104188.32,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sngx,2646
SNGXW,Soligenix Inc.,0.8,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sngxw,2647
SONC,Sonic Corp.,28.5,1209302424,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sonc,2648
SOFO,Sonic Foundry Inc.,4.6532,20550499.5036,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sofo,2649
SNOA,Sonoma Pharmaceuticals Inc.,6.56,27963666.24,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snoa,2650
SNOAW,Sonoma Pharmaceuticals Inc.,0.401,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snoaw,2651
SONS,Sonus Networks Inc.,7.9,391228919.2,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sons,2652
SPHS,Sophiris Bio Inc.,2.57,77385663.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sphs,2653
SORL,SORL Auto Parts Inc.,3.98,76833585.58,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sorl,2654
SRNE,Sorrento Therapeutics Inc.,1.8,134121934.8,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/srne,2655
SOHO,Sotherly Hotels Inc.,6.04,87462528.04,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/soho,2656
SOHOB,Sotherly Hotels Inc.,25.53,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sohob,2657
SOHOM,Sotherly Hotels LP,26.73,0,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sohom,2658
SFBC,Sound Financial Bancorp Inc.,31.15,77871262,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sfbc,2659
SSB,South State Corporation,88,2572304592,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb,2660
SFST,Southern First Bancshares Inc.,35.05,227129748.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfst,2661
SMBC,Southern Missouri Bancorp Inc.,33.87,252332888.67,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/smbc,2662
SONA,Southern National Bancorp of Virginia Inc.,17.94,220998249.42,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sona,2663
